date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:59:53	1502/1502	---M--	404	error ('Not%20Found')	text/html	etag:%225de-48fb4462bbf40%22	https://www.git-tower.com/robots.txt		(from )
08:59:53	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2003%20Oct%202019%2000:59:57%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/index.html	(from )
08:59:54	21176/21176	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2000:59:57%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/introduction.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/)
08:59:55	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.google-analytics.com/analytics.js	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
08:59:55	98267/98267	---MCZ	200	added ('OK')	text/css	etag:W/%2217fdb-593e82e22d0ea%22	https://assets.git-tower.com/learn/assets/css/content.min.1570000299.css	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/assets.git-tower.com/learn/assets/css/content.min.1570000299.css	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
08:59:56	86927/86927	---MC-	200	added ('OK')	text/javascript	date:Thu,%2025%20Jan%202018%2015:33:24%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
08:59:56	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2003%20Oct%202019%2001:00:00%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.googletagmanager.com/gtm.55445.delayed	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
08:59:56	78325/78325	---MCZ	200	added ('OK')	application/javascript	etag:W/%22131f5-593e82e247e9a%22	https://assets.git-tower.com/learn/assets/js/content.min.1570000299.js	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/assets.git-tower.com/learn/assets/js/content.min.1570000299.js	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
08:59:57	50369/50369	---M--	200	added ('OK')	image/png	etag:%22c4c1-593e82e23bb4a%22	https://assets.git-tower.com/learn/assets/img/keyvisual/ebook_dark.1570000299.png	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/assets.git-tower.com/learn/assets/img/keyvisual/ebook_dark.1570000299.png	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
08:59:57	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2003%20Oct%202019%2001:00:00%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/basics	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/basics	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
08:59:57	20064/20064	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:01%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/basics/what-is-version-control	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/basics/what-is-version-control.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
08:59:58	22403/22403	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:01%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/basics/why-use-version-control	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/basics/why-use-version-control.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
08:59:58	22822/22822	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:02%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/basics/getting-ready	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/basics/getting-ready.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
08:59:58	24046/24046	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:02%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/basics/basic-workflow	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/basics/basic-workflow.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
08:59:59	23180/23180	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:02%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/basics/starting-with-an-unversioned-project	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/basics/starting-with-an-unversioned-project.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
08:59:59	20767/20767	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:03%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/basics/starting-with-a-remote-project	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/basics/starting-with-a-remote-project.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:00	34222/34222	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:03%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/basics/working-on-your-project	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/basics/working-on-your-project.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:00	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2003%20Oct%202019%2001:00:03%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/branching-merging	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/branching-merging	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:00	24807/24807	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:04%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/branching-merging/branching-can-change-your-life	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/branching-merging/branching-can-change-your-life.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:01	22101/22101	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:04%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/branching-merging/working-with-branches	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/branching-merging/working-with-branches.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:01	22464/22464	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:05%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/branching-merging/stashing	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/branching-merging/stashing.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:01	22188/22188	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:05%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/branching-merging/checkout	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/branching-merging/checkout.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:02	22474/22474	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:05%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/branching-merging/merging	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/branching-merging/merging.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:02	26420/26420	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:06%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/branching-merging/branching-workflows	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/branching-merging/branching-workflows.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:03	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2003%20Oct%202019%2001:00:06%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/remote-repositories	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/remote-repositories	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:03	21611/21611	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:06%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/remote-repositories/introduction	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/remote-repositories/introduction.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:03	20540/20540	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:07%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/remote-repositories/connecting-remote-repositories	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/remote-repositories/connecting-remote-repositories.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:04	27073/27073	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:07%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/remote-repositories/inspecting-remote-data	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/remote-repositories/inspecting-remote-data.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:04	20160/20160	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:08%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/remote-repositories/integrating-remote-changes	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/remote-repositories/integrating-remote-changes.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:05	21462/21462	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:08%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/remote-repositories/publish-local-branch	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/remote-repositories/publish-local-branch.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:05	18961/18961	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:08%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/remote-repositories/deleting-branches	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/remote-repositories/deleting-branches.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:05	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2003%20Oct%202019%2001:00:09%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/advanced-topics	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/advanced-topics	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:06	25959/25959	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:09%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/advanced-topics/undoing-things	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/advanced-topics/undoing-things.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:06	25964/25964	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:10%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/advanced-topics/diffs	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/advanced-topics/diffs.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:06	25331/25331	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:10%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/advanced-topics/merge-conflicts	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/advanced-topics/merge-conflicts.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
09:00:07	27152/27152	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202019%2001:00:10%20GMT	https://www.git-tower.com/learn/git/ebook/cn/command-line/advanced-topics/rebase	C:/Users/jashliao/Desktop/git_ebook/command-line/command-line/www.git-tower.com/learn/git/ebook/cn/command-line/advanced-topics/rebase.html	(from https://www.git-tower.com/learn/git/ebook/cn/command-line/introduction)
